departure_date,booking_date,cum_bookings
8/18/2012,8/9/2012,105
8/18/2012,8/10/2012,106
8/18/2012,8/11/2012,107
8/18/2012,8/12/2012,109
8/18/2012,8/13/2012,117
8/18/2012,8/14/2012,123
8/18/2012,8/15/2012,133
8/18/2012,8/16/2012,146
8/18/2012,8/17/2012,168
8/18/2012,8/18/2012,197
8/19/2012,6/20/2012,6
8/19/2012,6/21/2012,7
8/19/2012,6/22/2012,7
8/19/2012,6/23/2012,7
8/19/2012,6/24/2012,7
8/19/2012,6/25/2012,7
8/19/2012,6/26/2012,9
8/19/2012,6/27/2012,9
8/19/2012,6/28/2012,9
8/19/2012,6/29/2012,9
8/19/2012,6/30/2012,9
8/19/2012,7/1/2012,9
8/19/2012,7/2/2012,9
8/19/2012,7/3/2012,9
8/19/2012,7/4/2012,9
8/19/2012,7/5/2012,11
8/19/2012,7/6/2012,13
8/19/2012,7/7/2012,13
8/19/2012,7/8/2012,13
8/19/2012,7/9/2012,13
8/19/2012,7/10/2012,13
8/19/2012,7/11/2012,13
8/19/2012,7/12/2012,37
8/19/2012,7/13/2012,37
8/19/2012,7/14/2012,37
8/19/2012,7/15/2012,37
8/19/2012,7/16/2012,42
8/19/2012,7/17/2012,44
8/19/2012,7/18/2012,46
8/19/2012,7/19/2012,48
8/19/2012,7/20/2012,48
8/19/2012,7/21/2012,48
8/19/2012,7/22/2012,48
8/19/2012,7/23/2012,48
8/19/2012,7/24/2012,55
8/19/2012,7/25/2012,57
8/19/2012,7/26/2012,59
8/19/2012,7/27/2012,61
8/19/2012,7/28/2012,61
8/19/2012,7/29/2012,61
8/19/2012,7/30/2012,67
8/19/2012,7/31/2012,73
8/19/2012,8/1/2012,74
8/19/2012,8/2/2012,83
8/19/2012,8/3/2012,94
8/19/2012,8/4/2012,94
8/19/2012,8/5/2012,97
8/19/2012,8/6/2012,100
8/19/2012,8/7/2012,107
8/19/2012,8/8/2012,114
8/19/2012,8/9/2012,123
8/19/2012,8/10/2012,125
8/19/2012,8/11/2012,128
8/19/2012,8/12/2012,132
8/19/2012,8/13/2012,147
8/19/2012,8/14/2012,163
8/19/2012,8/15/2012,172
